idx,imu_Timestamp[sec],mag_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],moving, 
2760,6.986258000,6.983239000,-0.771967530,-0.297522962,8.766423225,-2.668806553,5.470885277,22.225147247,-0.500000000,-4.437500000,-4.312500000,-89.453163147,20.820117950,-0.786284506,1.000000000,
2762,6.991318000,6.983239000,0.289795756,0.091022067,9.678997040,-2.718772650,1.668867707,20.921669006,-0.562500000,-4.437500000,-4.375000000,-89.467208862,20.929008484,-0.813147664,1.000000000,
2764,6.996378000,6.983239000,1.166944265,0.558143079,10.572608948,2.074594736,-1.959051967,19.624057770,-0.562500000,-4.437500000,-4.375000000,-89.466613770,21.027023315,-0.795404494,1.000000000,
2766,7.001438000,6.983239000,0.999398589,0.560369611,10.606121063,3.347554207,-4.529081821,18.807067871,-0.562500000,-4.437500000,-4.375000000,-89.445869446,21.122512817,-0.770333648,1.000000000,
2768,7.006498000,7.003479000,-0.069321550,0.105083764,9.741106033,0.857642174,-1.001990318,20.269241333,-0.562500000,-4.437500000,-4.375000000,-89.436454773,21.222110748,-0.747594833,1.000000000,
2770,7.011558000,7.003479000,-0.785333574,-0.266594082,8.959342957,-1.606237650,4.395460606,21.132783890,-0.562500000,-4.500000000,-4.312500000,-89.436561584,21.325386047,-0.756497860,1.000000000,
2772,7.016618000,7.003479000,-0.507741392,-0.311750650,8.883088112,-4.495887756,2.649402380,22.314117432,-0.562500000,-4.500000000,-4.312500000,-89.456657410,21.437915802,-0.770455718,1.000000000,
2773,7.019148000,7.003479000,0.011932579,-0.125927448,9.247933388,-2.773518562,1.911989808,21.312383652,-0.562500000,-4.500000000,-4.312500000,-89.465759277,21.491195679,-0.774285316,1.000000000,
2775,7.024208000,7.003479000,0.915929496,0.267235190,10.232097626,-0.026089165,-0.638376892,18.642568588,-0.562500000,-4.500000000,-4.312500000,-89.466636658,21.588624954,-0.768375814,1.000000000,
2777,7.029268000,7.023719000,0.896938562,0.412511349,10.722735405,1.704047799,-3.841608286,18.795940399,-0.562500000,-4.437500000,-4.312500000,-89.459068298,21.679883957,-0.737843037,1.000000000,
2779,7.034328000,7.023719000,-0.058826759,0.188248783,10.362908363,1.573204279,-0.224078745,20.008468628,-0.562500000,-4.437500000,-4.312500000,-89.446716309,21.779521942,-0.727257073,1.000000000,
2781,7.039388000,7.023719000,-0.915564001,-0.164601818,9.695778847,-1.518795371,1.629958868,21.301477432,-0.562500000,-4.437500000,-4.312500000,-89.447006226,21.883573532,-0.719876468,1.000000000,
2783,7.044448000,7.023719000,-0.799795747,-0.266903132,9.385993958,-0.418133825,3.406162262,20.546932220,-0.562500000,-4.437500000,-4.312500000,-89.449913025,21.988868713,-0.747115791,1.000000000,
2785,7.049508000,7.043959000,-0.271115720,-0.197674364,9.657550812,-2.903972626,-0.656426966,20.711185455,-0.437500000,-4.437500000,-4.375000000,-89.463478088,22.092258453,-0.753321588,1.000000000,
2787,7.054568000,7.043959000,-0.035193812,0.126301154,10.300951004,2.536302567,-1.505688429,18.021030426,-0.437500000,-4.437500000,-4.375000000,-89.459449768,22.185813904,-0.753055990,1.000000000,
2789,7.059628000,7.043959000,-0.619866192,0.209530741,10.317631721,1.342683434,-0.824339390,20.893960953,-0.437500000,-4.437500000,-4.375000000,-89.451248169,22.285324097,-0.756609738,1.000000000,
2790,7.062158000,7.043959000,-0.920627058,0.140406638,10.096014977,1.500098109,-2.388851404,21.852949142,-0.437500000,-4.437500000,-4.375000000,-89.447280884,22.339872360,-0.754135251,1.000000000,
2792,7.067218000,7.064199000,-1.027095795,-0.121533178,9.459764481,0.505624950,4.865660191,22.853895187,-0.437500000,-4.437500000,-4.375000000,-89.442832947,22.453794479,-0.773825049,1.000000000,
2794,7.072278000,7.064199000,-0.333321631,-0.288073927,9.228668213,-3.272052526,-0.178263217,19.767734528,-0.500000000,-4.437500000,-4.375000000,-89.454582214,22.557704926,-0.789035559,1.000000000,
2796,7.077338000,7.064199000,0.476598710,-0.001909565,9.652834892,-1.465121865,2.818650484,20.574052811,-0.500000000,-4.437500000,-4.375000000,-89.467948914,22.659036636,-0.805397153,1.000000000,
2798,7.082398000,7.064199000,0.643554032,0.400591999,10.389321327,0.893959045,-3.742923975,18.474510193,-0.500000000,-4.437500000,-4.375000000,-89.467872620,22.752367020,-0.787383378,1.000000000,
2800,7.087458000,7.084439000,0.090779230,0.617274463,10.544214249,3.788980961,-1.259987593,20.457931519,-0.500000000,-4.437500000,-4.375000000,-89.449615479,22.853015900,-0.769608736,1.000000000,
